Species,Family,Biol_realm,Growth_form,PFT,Life_history,Leaf_type,Phenology,Photosynthesis,Legume
Bromus tectorum,Gramineae,Seed,H ,G ,A ,,,C3,N 
Bryocaulon divergens,Parmeliaceae,Spore,O ,L ,,,,,
Calamagrostis canadensis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Calamagrostis epigejos,Gramineae,Seed,H ,G ,P ,,,C3,N 
Calamagrostis lapponica,Gramineae,Seed,H ,G ,P ,,,C3,N 
Calamagrostis purpurascens,Gramineae,Seed,H ,G ,P ,,,C3,N 
Calendula officinalis,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Calliergonella cuspidata,Amblystegiaceae,Spore,O ,M ,,,,,
Callitropsis nootkatensis,Cupressaceae,Seed,W ,T ,,C ,E ,C3,N 
Calluna vulgaris,Ericaceae,Seed,W ,S ,,,,C3,N 
Calophyllum tetrapterum,Calophyllaceae,Seed,W ,T ,,B ,D ,C3,N 
Campanula rotundifolia,Plantaginaceae,Seed,H ,Fo ,P ,,,C3,N 
Caragana microphylla,Fabaceae,Seed,W ,S ,,,,C3,L 
Carex acutiformis,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex bigelowii,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex diandra,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex hystericina,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex korshinskii,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex korshinskyi,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex lasiocarpa,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex membranacea,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex oligosperma,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex panicea,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex podocarpa,Cyperaceae,Seed,H ,G ,P ,,,C4,N 
Carex rostrata,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex rupestris,Cyperaceae,Seed,H ,G ,P ,,,C4,N 
Carex scopulorum,Cyperaceae,Seed,H ,G ,P ,,,C4,N 
Carex spp.,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex stricta,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex tribuloides ,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Carex vaginata,Cyperaceae,Seed,H ,G ,P ,,,C4,N 
Carrichtera annua,Brassicaceae,Seed,H ,Fo ,A ,,,C3,N 
Carthamnus tinctorius,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Cassiope tetragona,Ericaceae,Seed,W ,S ,,,,C3,N 
Castanopsis hystrix,Fagaceae,Seed,W ,T ,,B ,E ,C3,N 
Cayratia trifolia,Vitaceae,Seed,W ,V ,,,,C3,N 
Centaurea diffusa,Asteraceae,Seed,H ,Fo ,P ,,,C4,N 
Centaurea jacea,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Centaurea maculosa,Asteraceae   ,Seed,H ,Fo ,P ,,,C3,N 
Centaurea solstitialis,Asteraceae,Seed,H ,Fo ,A,,,,N
Cetraria cucullata,Parmeliaceae,Spore,O ,L ,,,,,
Cetraria islandica,Parmeliaceae,Spore,O ,L ,,,,,
Cetraria laevigata,Parmeliaceae,Spore,O ,L ,,,,,
Cetraria nivalis,Parmeliaceae,Spore,O ,L ,,,,,
Chamaecyparis obtusa,Cupressaceae,Seed,W ,T ,,C ,E ,C3,N 
Chamaedaphne calyculata,Ericaceae,Seed,W ,S ,,,,C3,N 
Chenopodium album,Chenopodiaceae,Seed,H ,Fo ,A ,,,C3,N 
Chenopodium glaucum,Chenopodiaceae,Seed,H ,Fo ,A ,,,C3,N 
Chorizema ilicifolium,Fabaceae,Seed,W ,S ,,,,C3,L 
Chuquiraga oppositifolia,Asteraceae,Seed,W ,S ,,,,C3,N 
Cirsium dissectum,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Cladina mitis,Cladoniaceae,Spore,O ,L ,,,,,
Cladina rangiferina,Cladoniaceae,Spore,O ,L ,,,,,
Cladonia gracilis,Cladoniaceae,Spore,O ,L ,,,,,
Claytonia virginica,Portulacaceae,Seed,H ,Fo ,P ,,,C3,N 
Cleistogenes squarrosa,Gramineae,Seed,H ,G ,P ,,,C4,N 
Clerodendrum indicum,Verbenaceae,Seed,W ,S ,,,,C3,N 
Colliguaya odorifera,Euphorbiaceae,Seed,W ,T ,,B ,D ,C3,N 
Commelina benghalensis,Commelinaceae,Seed,H ,Fo ,P ,,,C3,N 
Cordylanthus maritimus,Scrophulariaceae,Seed,H ,Fo ,A ,,,C3,N 
Cornus drummondii,Cornaceae,Seed,W ,T ,,B ,D ,C3,N 
Cornus suecica,Cornaceae,Seed,W ,S ,,,,C3,N 
Cortaderia pilosa,Gramineae,Seed,H ,G ,P ,,,C3,N 
Corymbia variegata,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Crithopsis delileana,Gramineae,Seed,H ,G ,A ,,,C3,N 
Cryptantha flaccida,Boraginaceae,Seed,H ,Fo ,A ,,,C3,N 
Cryptocarya concinna,Lauraceae,Seed,W ,T ,,B ,E ,C3,N 
Cryptomeria japonica,Taxodiaceae,Seed,W ,T ,,C ,E ,C3,N 
Cunninghamia lanceolata,Cupressaceae,Seed,W ,T ,,C ,E ,C3,N 
Cynodon dactylon ,Gramineae,Seed,H ,G ,P ,,,C4,N 
Cynodon dactylon × Cynodon transvaalensis,Gramineae,Seed,H ,G ,P ,,,C4,N 
Dacrydium cupressinum,Podocarpaceae,Seed,W ,T ,,C ,E ,C3,N 
Dactylis glomerata,Gramineae,Seed,H ,G ,P ,,,C3,N 
Dalbergia sissoo,Fabaceae,Seed,W ,T ,,B ,E ,C3,L 
Daucus subsessilis,Apiaceae,Seed,H ,Fo ,A ,,,C3,N 
Daviesia horrida ,Fabaceae,Seed,W ,S ,,,,C3,L 
Deschampsia caespitosa,Gramineae,Seed,H ,G ,P ,,,C3,N 
Deschampsia flexuosa,Gramineae,Seed,H ,G ,P ,,,C3,N 
Deschampsia nubigena,Gramineae,Seed,H ,G ,P ,,,C3,N 
Desmodium cuspidatum ,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Dichanthium annulatum ,Gramineae,Seed,H ,G ,P ,,,C4,N 
Dicranum majus,Dicranaceae,Spore,O ,M ,,,,,
Dicranum polysetum,Dicranaceae,Spore,O ,M ,,,,,
Digitaria sanguinalis,Gramineae,Seed,H ,G ,A ,,,C4,N 
Dillenia suffruticosa,Dilleniaceae,Seed,W ,T ,,B ,D ,C3,N 
Dimorphotheca pluvialis,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Dipterocarpus kunstleri,Dipterocarpaceae,Seed,W ,T ,,B ,E ,C3,N 
Distichlis spicata,Gramineae,Seed,H ,G ,P ,,,C4,N 
Drosera rotundifolia,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Dryas integrifolia,Rosaceae,Seed,W ,S ,,,,C3,N 
Dryobalanops lanceolata,Dipterocarpaceae,Seed,W ,T ,,B ,E ,C3,N 
